name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_name,car_model,car_age,depreciation,log_km_driven
Maruti 800 AC,2007.0,77500.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,800 AC,18.0,0.8,11.156264806643742
Maruti Wagon R LXI Minor,2007.0,135000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor,18.0,0.8,10.819798284210286
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Deisel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX,13.0,0.6,11.51293546492023
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,RediGO T Option,8.0,0.0,10.736418414365376
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Deisel,Individual,Manual,Second Owner,Honda,Amaze VX i-DTEC,11.0,0.3,11.856522261533737
Maruti Alto LX BSIII,2007.0,140000.0,80000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII,18.0,0.8,11.289794413577894
Chevrolet Beat LT Option,2016.0,550000.0,50000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Beat LT Option,9.0,0.0,10.819798284210286
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol,11.0,0.3,11.002116507732017
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S,10.0,0.3,10.12667110305036
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI,8.0,0.0,11.264476926102367
Tata Indigo Grand Petrol,2014.0,250000.0,100000.0,Petrol,Individual,Manual,First Owner,Tata,Indigo Grand Petrol,11.0,0.3,11.51293546492023
Toyota Corolla Altis 1.8 VL CVT,2018.0,1650000.0,25000.0,Petrol,Dealer,Automatic,First Owner,Toyota,Corolla Altis 1.8 VL CVT,7.0,0.0,10.12667110305036
Maruti 800 AC,2007.0,77500.0,70000.0,Petrol,Individual,Manual,First Owner,Maruti,800 AC,18.0,0.8,11.156264806643742
Maruti Wagon R LXI Minor,2007.0,135000.0,80000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI Minor,18.0,0.8,11.289794413577894
Hyundai Verna 1.6 SX,2012.0,600000.0,100000.0,Deisel,Individual,Manual,First Owner,Hyundai,Verna 1.6 SX,13.0,0.6,11.51293546492023
Datsun RediGO T Option,2017.0,250000.0,46000.0,Petrol,Individual,Manual,First Owner,Datsun,RediGO T Option,8.0,0.0,10.736418414365376
Honda Amaze VX i-DTEC,2014.0,450000.0,141000.0,Deisel,Individual,Manual,Second Owner,Honda,Amaze VX i-DTEC,11.0,0.3,11.856522261533737
Maruti Alto LX BSIII,2007.0,140000.0,125000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LX BSIII,18.0,0.8,11.736077016252437
Hyundai Xcent 1.2 Kappa S,2016.0,550000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Xcent 1.2 Kappa S,9.0,0.0,10.12667110305036
Tata Indigo Grand Petrol,2014.0,240000.0,60000.0,Petrol,Individual,Manual,Second Owner,Tata,Indigo Grand Petrol,11.0,0.3,11.002116507732017
Hyundai Creta 1.6 VTVT S,2015.0,850000.0,25000.0,Petrol,Individual,Manual,First Owner,Hyundai,Creta 1.6 VTVT S,10.0,0.3,10.12667110305036
Maruti Celerio Green VXI,2017.0,365000.0,78000.0,CNG,Individual,Manual,First Owner,Maruti,Celerio Green VXI,8.0,0.0,11.264476926102367
Chevrolet Sail 1.2 Base,2015.0,260000.0,35000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Sail 1.2 Base,10.0,0.3,10.463131911491967
